ID,SMILES
CP00034,CCC(C)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H]1C(=O)N[C@H](CC(C)C)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)O[C@H]1C
CP00040,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)OC(=O)CCNC(=O)[C@@H](C)N(C)C(=O)[C@H](C(C)C)N(C)C1=O
CP00041,COc1ccc(C[C@H]2C(=O)N[C@H](C)C(=O)N(C)[C@H]3C(=O)N(C)[C@H](Cc4ccc(O)c(c4)Oc4ccc(cc4)C3O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N2C)cc1
CP00042,O=C1N[C@@H](Cc2ccccc2)C(=O)N[C@H]1Cc1ccccc1
CP00043,CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O
CP00044,CC(C)[C@@H]1NC(=O)[C@@H]2CCCN2C1=O
CP00045,O=C1N[C@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12
CP00046,CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C1=O
CP00047,CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H]1C(=O)O
CP00049,C[C@H]1NC(=O)CNC1=O
CP00050,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(C)O)C(=O)N2
CP00052,C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H](C)NC1=O
CP00053,O=C(O)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC1=O
CP00054,CCC1NC(=O)CC(c2ccccc2)NC(=O)C2C(Cl)C(Cl)CN2C(=O)C(CO)NC(=O)C(CO)NC1=O
